Date	TestName	StateName	Phase	Step	ModelRule	ActualRule	ActualStatus	ModelSel	ModelAction	ModelInput	ActualSel	ActualAction	ActualInput
02.24.2014-11.42.35	C4x+2DI3_4	"state 3"	test	"4x+2=12"	subtract	N/A	N/A	dorminTable3_C1R2	UpdateTable	"subtract 2"	N/A	N/A	"N/A"
02.24.2014-11.42.35	C4x+2DI3_4	"state 4"	test	"4x+2=12 (subtract 2)"	subtract-typein	N/A	N/A	dorminTable1_C1R3	UpdateTable	"4x"	N/A	N/A	"N/A"
02.24.2014-11.42.36	C4x+2DI3_4	"state 5"	test	"4x+2=12 (subtract 2)"	subtract-typein	N/A	N/A	dorminTable2_C1R3	UpdateTable	"10"	N/A	N/A	"N/A"
02.24.2014-11.42.36	C4x+2DI3_4	"state 6"	test	"4x=10"	divide	N/A	N/A	dorminTable3_C1R3	UpdateTable	"divide 4"	N/A	N/A	"N/A"
02.24.2014-11.42.36	C4x+2DI3_4	"state 7"	test	"4x=10 (divide 4)"	divide-typein	N/A	N/A	dorminTable1_C1R4	UpdateTable	"x"	N/A	N/A	"N/A"
02.24.2014-11.42.36	C4x+2DI3_4	"state 8"	test	"4x=10 (divide 4)"	divide-typein	N/A	N/A	dorminTable2_C1R4	UpdateTable	"5/2"	N/A	N/A	"N/A"
02.24.2014-11.42.36	C4x+2DI3_4	"state 9"	test	"x=5/2"	-kill-interactive-learning-	N/A	N/A	done	ButtonPressed	"-1"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"-3+2x_6+5x"	test	"-3+2x_6+5x"	subtract	N/A	N/A	dorminTable3_C1R1	UpdateTable	"subtract 5x"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"state 1"	test	"-3+2x_6+5x (subtract 5x)"	subtract-typein	N/A	N/A	dorminTable1_C1R2	UpdateTable	"-3-3x"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"state 2"	test	"-3+2x_6+5x (subtract 5x)"	subtract-typein	N/A	N/A	dorminTable2_C1R2	UpdateTable	"6"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"state 3"	test	"-3-3x=6"	add	N/A	N/A	dorminTable3_C1R2	UpdateTable	"add 3"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"state 4"	test	"-3-3x=6 (add 3)"	add-typein	N/A	N/A	dorminTable1_C1R3	UpdateTable	"-3x"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"state 5"	test	"-3-3x=6 (add 3)"	add-typein	N/A	N/A	dorminTable2_C1R3	UpdateTable	"9"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"state 6"	test	"-3x=9"	divide	N/A	N/A	dorminTable3_C1R3	UpdateTable	"divide -3"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"state 7"	test	"-3x=9 (divide -3)"	divide-typein	N/A	N/A	dorminTable1_C1R4	UpdateTable	"x"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"state 8"	test	"-3x=9 (divide -3)"	divide-typein	N/A	N/A	dorminTable2_C1R4	UpdateTable	"-3"	N/A	N/A	"N/A"
02.24.2014-11.42.36	-3+2x_6+5x	"state 9"	test	"x=-3"	-kill-interactive-learning-	N/A	N/A	done	ButtonPressed	"-1"	N/A	N/A	"N/A"
02.24.2014-11.43.26	4x+8_6	"4x+8_6"	test	"4x+8_6"	subtract	N/A	N/A	dorminTable3_C1R1	UpdateTable	"subtract 8"	N/A	N/A	"N/A"
02.24.2014-11.43.26	4x+8_6	"state 1"	test	"4x+8_6 (subtract 8)"	subtract-typein	N/A	N/A	dorminTable1_C1R2	UpdateTable	"4x"	N/A	N/A	"N/A"
02.24.2014-11.43.26	4x+8_6	"state 2"	test	"4x+8_6 (subtract 8)"	subtract-typein	N/A	N/A	dorminTable2_C1R2	UpdateTable	"-2"	N/A	N/A	"N/A"
02.24.2014-11.43.26	4x+8_6	"state 3"	test	"4x=-2"	divide	N/A	N/A	dorminTable3_C1R2	UpdateTable	"divide 4"	N/A	N/A	"N/A"
